"Elapsed time","Datetime","Magnetic field"
153.862389,"2021-07-12 19:20:19.344782",-54.562
154.393614,"2021-07-12 19:20:19.876007",-54.564
154.937276,"2021-07-12 19:20:20.419669",-54.566
155.479524,"2021-07-12 19:20:20.961917",-54.567
156.023933,"2021-07-12 19:20:21.506326",-54.571
156.568633,"2021-07-12 19:20:22.051026",-54.571
157.111644,"2021-07-12 19:20:22.594037",-54.57
157.654663,"2021-07-12 19:20:23.137056",-54.567
158.195515,"2021-07-12 19:20:23.677908",-54.571
158.725385,"2021-07-12 19:20:24.207778",-54.57
159.271421,"2021-07-12 19:20:24.753814",-54.57
159.815274,"2021-07-12 19:20:25.297667",-54.568
160.359025,"2021-07-12 19:20:25.841418",-54.567
160.902647,"2021-07-12 19:20:26.385040",-54.565
161.446042,"2021-07-12 19:20:26.928435",-54.565
161.99034,"2021-07-12 19:20:27.472733",-54.566
162.53306,"2021-07-12 19:20:28.015453",-54.567
163.073713,"2021-07-12 19:20:28.556106",-54.571
163.62159,"2021-07-12 19:20:29.103983",-54.574
164.162289,"2021-07-12 19:20:29.644682",-54.577
164.705569,"2021-07-12 19:20:30.187962",-54.585
165.248712,"2021-07-12 19:20:30.731105",-54.592
165.77859,"2021-07-12 19:20:31.260983",-54.6
166.305264,"2021-07-12 19:20:31.787657",-54.608
166.852336,"2021-07-12 19:20:32.334729",-54.617
167.396142,"2021-07-12 19:20:32.878535",-54.628
167.939326,"2021-07-12 19:20:33.421719",-54.639
168.483739,"2021-07-12 19:20:33.966132",-54.645
169.022505,"2021-07-12 19:20:34.504898",-54.65
169.550677,"2021-07-12 19:20:35.033070",-54.655
170.079917,"2021-07-12 19:20:35.562310",-54.662
170.62335,"2021-07-12 19:20:36.105743",-54.666
171.168923,"2021-07-12 19:20:36.651316",-54.668
171.713634,"2021-07-12 19:20:37.196027",-54.667
172.253239,"2021-07-12 19:20:37.735632",-54.667
172.796574,"2021-07-12 19:20:38.278967",-54.668
173.34224,"2021-07-12 19:20:38.824633",-54.669
173.884472,"2021-07-12 19:20:39.366865",-54.669
174.429854,"2021-07-12 19:20:39.912247",-54.671
174.975075,"2021-07-12 19:20:40.457468",-54.671
175.517936,"2021-07-12 19:20:41.000329",-54.673
176.062658,"2021-07-12 19:20:41.545051",-54.673
176.603765,"2021-07-12 19:20:42.086158",-54.672
177.14944,"2021-07-12 19:20:42.631833",-54.672
177.695344,"2021-07-12 19:20:43.177737",-54.675
178.237475,"2021-07-12 19:20:43.719868",-54.675
178.781856,"2021-07-12 19:20:44.264249",-54.675
179.321616,"2021-07-12 19:20:44.804009",-54.673
179.852502,"2021-07-12 19:20:45.334895",-54.673
180.397668,"2021-07-12 19:20:45.880061",-54.674
180.941684,"2021-07-12 19:20:46.424077",-54.677
181.481484,"2021-07-12 19:20:46.963877",-54.682
182.008409,"2021-07-12 19:20:47.490802",-54.683
182.539706,"2021-07-12 19:20:48.022099",-54.687
183.080423,"2021-07-12 19:20:48.562816",-54.685
183.610442,"2021-07-12 19:20:49.092835",-54.688
184.153919,"2021-07-12 19:20:49.636312",-54.688
184.69859,"2021-07-12 19:20:50.180983",-54.689
185.239477,"2021-07-12 19:20:50.721870",-54.689
185.786591,"2021-07-12 19:20:51.268984",-54.691
186.326883,"2021-07-12 19:20:51.809276",-54.694
186.873107,"2021-07-12 19:20:52.355500",-54.696
187.41807,"2021-07-12 19:20:52.900463",-54.697
187.958508,"2021-07-12 19:20:53.440901",-54.697
188.486359,"2021-07-12 19:20:53.968752",-54.698
189.034312,"2021-07-12 19:20:54.516705",-54.697
189.575673,"2021-07-12 19:20:55.058066",-54.695
190.117875,"2021-07-12 19:20:55.600268",-54.696
190.665255,"2021-07-12 19:20:56.147648",-54.695
191.207352,"2021-07-12 19:20:56.689745",-54.695
191.752657,"2021-07-12 19:20:57.235050",-54.694
192.292809,"2021-07-12 19:20:57.775202",-54.695
192.841027,"2021-07-12 19:20:58.323420",-54.695
193.3848,"2021-07-12 19:20:58.867193",-54.693
193.927892,"2021-07-12 19:20:59.410285",-54.694
194.472418,"2021-07-12 19:20:59.954811",-54.698
195.013015,"2021-07-12 19:21:00.495408",-54.697
195.559095,"2021-07-12 19:21:01.041488",-54.694
196.102787,"2021-07-12 19:21:01.585180",-54.693
196.647565,"2021-07-12 19:21:02.129958",-54.696
197.186191,"2021-07-12 19:21:02.668584",-54.696
197.730589,"2021-07-12 19:21:03.212982",-54.694
198.261757,"2021-07-12 19:21:03.744150",-54.693
198.806451,"2021-07-12 19:21:04.288844",-54.694
199.345863,"2021-07-12 19:21:04.828256",-54.695
199.893019,"2021-07-12 19:21:05.375412",-54.695
200.437797,"2021-07-12 19:21:05.920190",-54.696
200.980608,"2021-07-12 19:21:06.463001",-54.695
201.524691,"2021-07-12 19:21:07.007084",-54.694
202.069197,"2021-07-12 19:21:07.551590",-54.694
202.611753,"2021-07-12 19:21:08.094146",-54.693
203.153551,"2021-07-12 19:21:08.635944",-54.692
203.695939,"2021-07-12 19:21:09.178332",-54.692
204.238386,"2021-07-12 19:21:09.720779",-54.694
